Páratartalom [%]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
63	1584	1500	1622	1578	1517	1263	935	744	1622	1584	1578	1517	1500	1263	935	744	10743	1,8	0
63	1182	1128	1362	1193	1120	894	694	566	1362	1193	1182	1128	1120	894	694	566	8139	1,6	0
63	989	979	1200	1070	930	761	539	428	1200	1070	989	979	930	761	539	428	6896	2,9	0
63	1388	1262	1499	1321	1299	1081	853	685	1499	1388	1321	1299	1262	1081	853	685	9388	1,8	0
63	1358	1399	1551	1535	1577	1498	1323	1043	1577	1551	1535	1498	1399	1358	1323	1043	11284	1	0
64	1041	1086	1366	1207	1173	936	691	570	1366	1207	1173	1086	1041	936	691	570	8070	4,5	0
64	1565	1478	1757	1654	1608	1319	987	794	1757	1654	1608	1565	1478	1319	987	794	11162	1,5	0
64	1779	1739	2271	1993	1919	1568	1183	991	2271	1993	1919	1779	1739	1568	1183	991	13443	5,4	0
64	1870	1825	2165	1862	1782	1454	1128	944	2165	1870	1862	1825	1782	1454	1128	944	13030	1,5	0
64	1264	1273	1255	1257	1148	1092	788	647	1273	1264	1257	1255	1148	1092	788	647	8724	38,9	0
64	962	951	1289	1157	1314	1066	922	849	1314	1289	1157	1066	962	951	922	849	8510	142,1	0
67	0	0	2640	2835	65	0	0	0	2835	2640	65	0	0	0	0	0	5540	47,7	1
67	0	0	0	3582	3993	0	0	0	3993	3582	0	0	0	0	0	0	7575	38,5	1
67	0	0	0	208	2598	305	0	0	2598	305	208	0	0	0	0	0	3111	744,4	1
53	4	3	4	1	0	48	2207	0	2207	48	4	4	3	1	0	0	2267	641,4	0
65	1	2	1	70	2865	1417	0	3	2865	1417	70	3	2	1	1	0	4359	213,9	1
50	0	3741	33	19	8	7	3	4	3741	33	19	8	7	4	3	0	3815	171,2	0
65	0	1714	2535	6	2	3	2	3	2535	1714	6	3	3	2	2	0	4265	9,5	1
65	2	41	2525	72	2	4	3	1	2525	72	41	4	3	2	2	1	2650	9	1
65	1	0	0	1698	2917	1221	25	0	2917	1698	1221	25	1	0	0	0	5862	11,5	1
65	2	2	3	622	2730	1466	1	2	2730	1466	622	3	2	2	2	1	4828	24,6	1
65	1	1	280	2154	0	1	1	1	2154	280	1	1	1	1	1	0	2439	97,3	1
65	1	71	463	961	337	671	104	10	961	671	463	337	104	71	10	1	2618	6,5	0
65	0	1	17	2897	1086	2	1	1	2897	1086	17	2	1	1	1	0	4005	35	1
65	4	5	5	6	12	539	2637	1297	2637	1297	539	12	6	5	5	4	4505	1,9	0
65	0	0	2	33	2644	2922	472	0	2922	2644	472	33	2	0	0	0	6073	14,5	0
65	13	17	13	1945	1	5	4	4	1945	17	13	13	5	4	4	1	2002	11,3	1
65	0	0	441	2947	296	0	0	0	2947	441	296	0	0	0	0	0	3684	27,1	1
65	0	0	2802	0	0	0	5	7	2802	7	5	0	0	0	0	0	2814	80,2	1
65	7	6	11	10	12	368	1679	174	1679	368	174	12	11	10	7	6	2267	27	1
50	0	0	0	0	0	1498	2657	77	2657	1498	77	0	0	0	0	0	4232	104,8	1
65	0	0	2439	2927	0	1	0	1	2927	2439	1	1	0	0	0	0	5368	84,5	1
65	28	90	102	102	56	2583	977	176	2583	977	176	102	102	90	56	28	4114	109,9	0
65	4	2	7	4	0	3068	287	0	3068	287	7	4	4	2	0	0	3372	48,7	1
50	0	0	0	0	2502	1583	0	15	2502	1583	15	0	0	0	0	0	4100	60,4	1
65	0	0	0	984	3123	872	0	0	3123	984	872	0	0	0	0	0	4979	7,9	0
65	1	3048	1331	0	0	0	0	0	3048	1331	1	0	0	0	0	0	4380	12,8	1
65	0	0	1731	61	0	0	0	1	1731	61	1	0	0	0	0	0	1793	33,3	1
50	2	0	1	0	1449	0	0	0	1449	2	1	0	0	0	0	0	1452	80,2	1
